"plot","year","sowndiv","block","Abundance_AbovegroundFauna_PitfallTraps","SR_AbovegroundFauna_SuctionSample","BM_Earthworm_total","FrequencyPollinator_Total","NrPollinator_Total","Resiliance_Target_Drought","Resistance_Target_Drought","SR_AbovegroundFauna_PitfallTraps","Abundance_AbovegroundFauna_SuctionSample","ALL_C_Soil_Inorg","ALL_C_Soil_Org","ALL_N_Soil","BM_Microbe_Soil","BM_Root_Total","BulkDensity_Soil","N15_Soil","NH4_Soil_15","Nr_Larvae","SpecificRespiratoryQuotient_Soil","P_Soil","target_biomass_average","ConsumedBM_Target_DryWeight_average","Cover_BareGround_average","DF30_average","DF70_average","ETa30_average","ETa70_average","Herbivory_Target_average","inv_cover_average","inv_species_average","LAI_Total_average","Leaching_average","Nitrate_average","UF30_average","UF70_average","Water30_average","Water70_average","BasalRespiration_Soil_average","dead.biomass","rain.throughfall","mesofauna.abundance","macrofauna.abundance"
"B1A02",2006,8,1,NA,NA,NA,0,2,NA,NA,NA,NA,3.71,9.43,1.01,500.915,991.35,1.515,5.976666667,2.86,2,NA,0.004291417,174.33375,NA,15,2.34974215,1.3627134,7.6919885,1.20975785,NA,5.75,6,2.615,18.5607619204348,7.899063274,0.146153845,0.3477291,89.732885,118.2577,1.9475,10.925,NA,47846,1131.33
"B1A02",2007,8,1,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,768.29,NA,NA,NA,0.19,NA,NA,0.006802,153.6725,NA,6,6.7848184,5.74072045,8.005691,1.241922,NA,19.5,13.5,3.395,15.130145032,2.23,0.09423077,0.3395661,98.00136,121.993,2.68,15.325,NA,NA,NA
"B1A02",2008,8,1,NA,NA,NA,NA,3,NA,-78.1,NA,NA,NA,NA,NA,482.11,551,1.403062503,NA,3.72,1,3.172127457,NA,113.715,NA,9,NA,NA,NA,NA,NA,NA,NA,3.17,NA,1.06,NA,NA,NA,NA,1.535,8.03,507.300383333334,34103,841.92
"B1A02",2009,8,1,NA,NA,NA,NA,NA,22,113.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92,NA,NA,0.016,79.185,NA,3.5,NA,NA,NA,NA,NA,NA,NA,3,NA,1.2,NA,NA,NA,NA,NA,NA,551.833333333333,NA,NA
"B1A02",2010,8,1,2.492857143,3.777777778,NA,NA,NA,139.99,48.63,35.17778134,4.894089425,NA,NA,NA,973.3748795,NA,NA,NA,1.05,NA,3.784311674,NA,83.6575,1.6109188345,10,NA,NA,NA,NA,1.2445463085,NA,NA,2.92,NA,1.94,NA,NA,NA,NA,3.683553919,NA,432.479666666667,NA,NA
"B1A02",2011,8,1,NA,NA,NA,NA,NA,352.73,120.3,NA,NA,NA,NA,NA,493.8992791,530.3608016,NA,NA,1.52,NA,7.275297248,NA,88.265,1.417208806,7,NA,NA,NA,NA,1.6021588905,NA,NA,2.615,NA,0.53,NA,NA,NA,NA,3.593264066,NA,404.888,NA,NA
"B1A02",2012,8,1,NA,NA,NA,NA,NA,48.5,5.9,NA,NA,NA,NA,NA,798.0769231,NA,NA,NA,0,NA,3.040935673,NA,126.43,0.1431241885,NA,NA,NA,NA,NA,0.370293796,NA,NA,2.27,NA,0.373,NA,NA,NA,NA,2.426900585,NA,455.341333333333,NA,NA
"B1A03",2002,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,8.57,0.97,NA,NA,NA,6.208333333,NA,NA,NA,NA,136.3,NA,4,10.2911876,10.92359,2.535351,0.5317922,NA,NA,NA,NA,NA,NA,1.14307692,2.8457331,52.52173,136.8115,NA,NA,NA,NA,NA
"B1A03",2003,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586.58,387.81,NA,NA,0.1,NA,NA,0.01536838,253.225,NA,5,2.6066208,1.8757067,6.9684385,0.9430553,2.0223991445,1,3.5,2.175,2.137429056,0.82,0.34665926,0.43317085,53.0959466666667,125.17495,3.05,27.69,NA,NA,NA
"B1A03",2004,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.36,8.4,0.95,399.35,789.89,1.365,6.42,4.41,1,NA,0.007241805,506.8,NA,3.75,3.656787,3.4475179,7.094246,0.8082526,5.4833333315,3,6,1.71,7.78895631,2.13,0.18351852,0.81056475,55.09731,127.975,3.17,28.965,NA,32576,552.51
"B1A03",2005,8,1,NA,NA,NA,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.03,NA,NA,0.007703947,298.2275,NA,8,1.23914065,0.9526751,6.5779745,0.63397815,17.73886764,11.5,8,2.865,3.766987576,3.04,0.520384615,0.8275126,67.180575,122.55,NA,9.815,NA,NA,NA
"B1A03",2006,8,1,NA,NA,NA,11,3,NA,NA,NA,NA,4.2,8.13,0.98,784.8225,772.61,1.49,6.233333333,27.02,0,NA,0.019388,335.695,NA,0.5,2.36033835,1.5085604,7.690431,0.9786323,NA,10.75,8.5,5.075,27.1014785064464,11.48203117,0.12326923,0.23089285,83.17558,125.35,2.615,4.53,NA,83476,0
"B1A03",2007,8,1,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,781.86,NA,NA,NA,3.11,NA,NA,0.003144,407.9475,NA,1.5,6.6715199,5.78624035,8.102066,1.02862655,NA,18.25,8,4.74,15.477926168,2.32,0.075576925,0.25636735,90.69351,128.4131,2.01,15.675,NA,NA,NA
"B1A03",2008,8,1,NA,NA,NA,NA,2,NA,-75.7,NA,NA,NA,NA,NA,549.14,NA,1.362364921,NA,3.54,2,2.371760189,NA,258.105,NA,5.5,NA,NA,NA,NA,NA,NA,NA,3.66,NA,2.64,NA,NA,NA,NA,1.325,8.97,506.51205,7126,447.27
"B1A03",2009,8,1,NA,NA,NA,NA,NA,82,-89.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,202.7,NA,2.5,NA,NA,NA,NA,NA,NA,NA,3.03,NA,2.42,NA,NA,NA,NA,NA,NA,501.15225925926,NA,NA
"B1A03",2010,8,1,2.4,8.333333333,NA,NA,NA,7.1,-159.61,36.83337396,5.609916401,NA,NA,NA,1067.840462,NA,NA,NA,0.68,NA,4.140481802,NA,144.2525,0.8802780495,7,NA,NA,NA,NA,0.8148774235,NA,NA,1.74,NA,2.52,NA,NA,NA,NA,4.421374,NA,433.898666666667,NA,NA
"B1A03",2011,8,1,NA,NA,NA,NA,NA,162.43,69.6,NA,NA,NA,NA,NA,925.6733417,196.4773639,NA,NA,0.89,NA,3.164004539,NA,157.935,1.976572334,30,NA,NA,NA,NA,1.551964882,NA,NA,1.895,NA,0.38,NA,NA,NA,NA,2.928834654,NA,382.499333333333,NA,NA
"B1A03",2012,8,1,NA,NA,NA,NA,NA,10,3.1,NA,NA,NA,NA,NA,1040.479304,NA,NA,NA,0.006,NA,2.935838582,0.005666667,94.855,1.3959728415,NA,NA,NA,NA,NA,1.8963211975,NA,NA,1.05,NA,0.587,NA,NA,NA,NA,3.054679285,NA,478.360666666667,NA,NA
"B1A04",2002,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97,10.67,1.14,NA,NA,NA,6.211666667,NA,NA,NA,NA,252.8,NA,3,10.8195679,11.379994,2.247355,0.9187504,NA,NA,NA,NA,NA,NA,1.383461538,3.5049454,52.440575,131.8769,NA,NA,NA,NA,NA
"B1A04",2003,4,1,6.515873016,16.88,4.91,NA,NA,NA,NA,27.97222931,5.113467407,NA,NA,NA,839.83,307.55,NA,NA,0.01,NA,NA,0.021684361,388.425,NA,8.75,3.0874369,1.8475935,6.5419855,1.57670355,2.259959207,5,10,2.45,8.459577106,2.74,0.419111111,0.60463815,52.5770566666667,117.94225,4.27,63.325,NA,NA,NA
"B1A04",2004,4,1,NA,NA,30.025,NA,NA,NA,NA,NA,NA,4.12,10.18,1.11,548.7,462.11,1.371666667,6.486666667,0,3,NA,0.03246932,754.45,NA,7.75,4.2437205,3.523577,6.5437725,1.44122395,0.8666666665,12.5,11,2.53,10.651738455,2.51,0.2324358975,0.98713485,54.75487,121.28655,3.07,39.475,NA,17306,1026.09
"B1A04",2005,4,1,3.484126984,14.08,16.185,15,2,NA,NA,35.00481878,5.396872947,NA,NA,NA,NA,NA,NA,NA,10.52,NA,NA,0.01272069,355.2,NA,11.5,1.5438621,0.9858385,6.4036375,1.0028093,2.609231,6.5,7.5,2.79,5.959307706,3.86,0.6425,1.03920895,65.44327,114.7769,NA,20.975,NA,NA,NA
"B1A04",2006,4,1,NA,NA,41.345,141,6,NA,NA,NA,NA,3.83,10.05,1.09,562.01,384.98,1.483333333,6.318333333,12.11,0,NA,0.004095286,540.85,NA,17.5,2.93698135,1.366944,7.105519,1.75222545,NA,15,7.5,2.815,20.1710285188852,6.867945729,0.1498076925,0.30891905,83.34596,118.1442,2.0375,10.09,NA,8653,52.62
"B1A04",2007,4,1,NA,NA,11.48,64,NA,NA,NA,NA,NA,NA,NA,NA,648.62,NA,NA,NA,1.74,NA,NA,0.003593667,578.425,NA,13.5,7.41431645,5.741557,7.381238,1.83995405,NA,45,10,3.33,13.34576961,1.8,0.097929864,0.31161765,91.67475,121.8441,1.59,19.23,NA,NA,NA
"B1A04",2008,4,1,NA,NA,27.53,NA,3,NA,-24.2,NA,NA,NA,NA,NA,601.43,288,1.364962459,NA,4.07,3,2.556553976,NA,84.43,NA,22,NA,NA,NA,NA,NA,NA,NA,3.315,NA,2.19,NA,NA,NA,NA,1.545,13.625,497.05205,9162,210.48
"B1A04",2009,4,1,NA,NA,NA,NA,NA,-34,-46.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,174.945,NA,16.5,NA,NA,NA,NA,NA,NA,NA,2.35,NA,1.45,NA,NA,NA,NA,NA,NA,512.346592592593,NA,NA
"B1A04",2010,4,1,3.192857143,4.333333333,NA,NA,NA,-109.8,-100.03,38.28603043,5.100473479,NA,NA,NA,937.9747748,NA,NA,NA,0.69,NA,2.839129073,NA,157.5075,3.619048011,20,NA,NA,NA,NA,2.506316728,NA,NA,1.86,NA,2.2,NA,NA,NA,NA,2.663031453,NA,395.428,NA,NA
"B1A04",2011,4,1,NA,NA,NA,NA,NA,111.33,34.6,NA,NA,NA,NA,NA,946.428055,588.1504243,NA,NA,1.1,NA,5.897273304,NA,86.2125,2.845279334,12,NA,NA,NA,NA,4.2954864825,NA,NA,1.51,NA,0.47,NA,NA,NA,NA,5.581344902,NA,380.607333333333,NA,NA
"B1A04",2012,4,1,NA,NA,NA,NA,NA,0.901,6.6,NA,NA,NA,NA,NA,925.1974742,NA,NA,NA,0.175,NA,2.703677001,0.012,86.1475,0.6926570405,NA,NA,NA,NA,NA,2.4526536835,NA,NA,0.925,NA,0.747,NA,NA,NA,NA,2.501435132,NA,431.691333333333,NA,NA
"B1A05",2002,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,9.71,0.97,NA,NA,NA,6.716666667,NA,NA,NA,NA,326.5,NA,25,10.986867,11.0934728,1.938903,1.2815175,NA,NA,NA,NA,NA,NA,1.24230769,3.2650468,56.1425,138.1423,NA,NA,NA,NA,NA
"B1A05",2003,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478.36,1533.67,NA,NA,0,NA,NA,0.016637234,574.525,NA,21,4.0257465,1.84442905,5.5691125,2.4449019,1.818935928,40,13.5,2.015,20.571564615,5.11,0.376125925,0.489636,57.6631066666667,124.4324,2.56,36.075,NA,NA,NA
"B1A05",2004,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,9.4,0.98,528.14,332.65,1.496666667,6.53,0,2,NA,0.010119034,794.95,NA,22.5,5.1599605,3.47091905,5.6078315,2.3653977,0.85,47.5,17.5,2.09,16.150676365,3.13,0.206445865,0.91812975,59.68718,127.71155,3.74,34.43,NA,17815,236.79
"B1A05",2005,2,1,NA,NA,NA,49,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88,NA,NA,0.01758396,430.575,NA,27.5,2.1945885,0.9649828,5.6865655,1.6225839,1.1274935,6.5,11,2.81,9.56840586,4.36,0.580384615,0.92336295,73.941155,121.31925,NA,7.295,NA,NA,NA
"B1A05",2006,2,1,NA,NA,NA,153,5,NA,NA,NA,NA,4,10.55,1.09,505.97,172.46,1.433333333,6.161666667,9.57,0,NA,0.0058146,555.7,NA,15,3.984076,1.39035195,6.065539,2.7027896,NA,29,10.5,2.505,33.7472514157878,8.47053405,0.13576923,0.2236807,90.82173,124.625,1.9725,5.095,NA,49373,26.31
"B1A05",2007,2,1,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,404.88,NA,NA,NA,0.86,NA,NA,0.004241333,916.5,NA,20,8.4070215,5.73171205,6.375026,2.84058115,NA,65.5,15,3.1,19.588360095,2.33,0.084615385,0.2963801,98.679865,128.2406,2.31,6.74,NA,NA,NA
"B1A05",2008,2,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,416.825,NA,1.383002384,NA,3.51,3,2.210449059,NA,41.585,NA,35,NA,NA,NA,NA,NA,NA,NA,2.03,NA,1.53,NA,NA,NA,NA,0.925,1.685,496.421383333334,12216,289.41
"B1A05",2009,2,1,NA,NA,NA,NA,NA,-5.82,-427.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.002,226.375,NA,30,NA,NA,NA,NA,NA,NA,NA,1.76,NA,1.53,NA,NA,NA,NA,NA,NA,490.430925925926,NA,NA
"B1A05",2010,2,1,3.607142857,3.444444444,NA,NA,NA,-104,4,28.52292897,6.150601143,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA,NA,249.605,0.07850532,50,NA,NA,NA,NA,0.591291205,NA,NA,1.52,NA,3.03,NA,NA,NA,NA,NA,NA,378.084666666667,NA,NA
"B1A05",2011,2,1,NA,NA,NA,NA,NA,0,72,NA,NA,NA,NA,NA,390.0860725,104.0419142,NA,NA,0.73,NA,4.214446731,NA,116.8875,0.259642583,50,NA,NA,NA,NA,0.758365369,NA,NA,1.745,NA,0.44,NA,NA,NA,NA,1.643996973,NA,328.577333333333,NA,NA
"B1A05",2012,2,1,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,627.2613102,NA,NA,NA,0.023,NA,2.9891608,0.04325,143.8075,0.1252666985,NA,NA,NA,NA,NA,0.2,NA,NA,0.85,NA,0.572,NA,NA,NA,NA,1.87498492,NA,461.017333333333,NA,NA
"B1A06",2002,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.64,9.28,1.01,NA,NA,NA,6.52,NA,NA,NA,NA,311.9,NA,1,10.9488386,11.6999215,2.461161,0.4182023,NA,NA,NA,NA,NA,NA,1.72653846,3.4227466,59.981345,142.1615,NA,NA,NA,NA,NA
"B1A06",2003,16,1,7.722222222,23.44,12.37,NA,NA,NA,NA,32.52037751,5.584372093,NA,NA,NA,816.02,503.74,NA,NA,0,NA,NA,0.028479553,397.505,NA,2.25,2.30499635,1.8955774,7.3996925,0.80846335,0.013748883,1,4,2.87,1.244698029,0.54,0.514266665,0.78894065,60.3799066666667,130.75215,3.91,59.125,NA,NA,NA
"B1A06",2004,16,1,NA,NA,21.41,NA,NA,NA,NA,NA,NA,3.64,9.62,1.03,451.3,2403.14,1.353333333,6.568333333,3.82,2,NA,0.026694483,615.1,NA,6,3.7608304,3.61511755,7.153322,0.7402436,1.441666667,1.25,3,1.2,0,0,0.371203705,0.9935835,62.8291033333333,133.48075,6.18,16.58,NA,62098,210.48
"B1A06",2005,16,1,3.928571429,9.28,11.895,10,1,NA,NA,29.75253344,5.701663818,NA,NA,NA,NA,NA,NA,NA,2.76,NA,NA,0.014766472,122.87,NA,10,1.25136785,1.07906525,6.8484395,0.56845645,3.28329763,0.5,2,1.195,3.8166719425,3.05,0.786346155,1.1421154,76.589615,128.16345,NA,3.475,NA,NA,NA
"B1A06",2006,16,1,NA,NA,16.42,0,2,NA,NA,NA,NA,3.45,9.14,0.97,614.5975,791.62,1.518333333,6.395,NA,2,NA,0.008067333,134.6475,NA,11.5,2.03543065,1.3833685,7.9895695,0.94601235,NA,1.25,2.5,1.08,23.0629135615929,11.33072923,0.182692305,0.4593348,96.880385,130.92115,2.2975,6.615,NA,64134,605.13
"B1A06",2007,16,1,NA,NA,4.02,9,NA,NA,NA,NA,NA,NA,NA,NA,761.54,NA,NA,NA,0.6,NA,NA,0.003450167,221.17,NA,3.5,6.448722,5.8260506,8.4103615,0.8488934,NA,14.5,8.5,1.795,6.38423478,0.99,0.16131222,0.4249776,106.35665,133.9274,2.77,13.22,NA,NA,NA
"B1A06",2008,16,1,NA,NA,16.955,NA,4,NA,-24.3,NA,NA,NA,NA,NA,650.045,434,1.488485495,NA,5.45,1,2.221564621,NA,186.995,NA,6,NA,NA,NA,NA,NA,NA,NA,2.045,NA,2.76,NA,NA,NA,NA,1.44,7.065,506.98505,11198,578.82
"B1A06",2009,16,1,NA,NA,NA,NA,NA,-11.4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.023,168.21,NA,4,NA,NA,NA,NA,NA,NA,NA,2.38,NA,0.48,NA,NA,NA,NA,NA,NA,512.819592592593,NA,NA
"B1A06",2010,16,1,2.735714286,4.555555556,NA,NA,NA,128.36,-53.81,42.71139378,5.206040823,NA,NA,NA,974.8370647,NA,NA,NA,0.57,NA,3.653499947,NA,148.8075,0.4373850335,2,NA,NA,NA,NA,0.576983293,NA,NA,2.92,NA,1.96,NA,NA,NA,NA,3.561567164,NA,414.032666666667,NA,NA
"B1A06",2011,16,1,NA,NA,NA,NA,NA,253.6,32,NA,NA,NA,NA,NA,910.6245791,235.0730466,NA,NA,0.99,NA,4.162191192,NA,149.635,1.2346037105,7,NA,NA,NA,NA,1.584761136,NA,NA,3.3,NA,0.4,NA,NA,NA,NA,3.790193603,NA,392.905333333333,NA,NA
"B1A06",2012,16,1,NA,NA,NA,NA,NA,17.4,2.5,NA,NA,NA,NA,NA,998.2829722,NA,NA,NA,0,NA,2.149794618,0.00675,123.5825,0.6283800615,NA,NA,NA,NA,NA,1.625890599,NA,NA,2.13,NA,0.377,NA,NA,NA,NA,2.146103361,NA,422.862,NA,NA
"B1A07",2002,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.51,10.57,1.12,NA,NA,NA,6.235,NA,NA,NA,NA,7.4,NA,96,10.3504848,10.8267305,2.498361,0.5692762,NA,NA,NA,NA,NA,NA,1.16538462,2.71090652,58.65077,140.8769,NA,NA,NA,NA,NA
"B1A07",2003,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543.29,1120.81,NA,NA,0.17,NA,NA,0.025596978,125,NA,60,2.6536001,1.879527,6.9261405,0.9576675,0.415533845,35,14.5,1.135,6.978968263,2.63,0.354274075,0.421127715,60.5469966666667,130.11915,3.17,89.375,NA,NA,NA
"B1A07",2004,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,10.85,1.16,498.92,239.02,1.253333333,6.47,0,3,NA,0.010852061,328.15,NA,16,3.706772,3.4368593,7.049631,0.823144,0.366666667,37.5,14,3.75,8.340237,2.25,0.190783475,0.76951339,62.4466666666667,132.69425,2.97,68.755,NA,13743,447.27
"B1A07",2005,2,1,NA,NA,NA,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.006824561,290.225,NA,13,1.2708431,0.96190585,6.5631955,0.63105095,6.56840034,12.5,10.5,1.85,0,0,0.536153845,0.81980603,77.96019,127.70385,NA,20.015,NA,NA,NA
"B1A07",2006,2,1,NA,NA,NA,0,2,NA,NA,NA,NA,3.32,10.33,1.09,594.77,659.1,1.485,6.455,3,1,NA,0.002818,232.1,NA,5,2.40387325,1.5277912,7.6484345,0.98132275,NA,13.5,14.5,3.275,14.6419207846592,6.090970389,0.125192305,0.213125315,94.153845,130.27115,1.815,13.23,NA,25450,315.72
"B1A07",2007,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,819.4,NA,NA,NA,0.36,NA,NA,0.00203,94.125,NA,8,6.7694792,5.78678565,8.004808,1.1097297,NA,38.5,16,1.795,3.249350016,0.48,0.076923075,0.241289595,101.729505,133.1145,2.65,51.445,NA,NA,NA
"B1A07",2008,2,1,NA,NA,NA,NA,1,NA,39.3,NA,NA,NA,NA,NA,667.885,664,1.486582054,NA,10.47,1,1.888608386,NA,59.14,NA,25,NA,NA,NA,NA,NA,NA,NA,2.09,NA,1.17,NA,NA,NA,NA,1.28,11.32,501.78205,30540,499.89
"B1A07",2009,2,1,NA,NA,NA,NA,NA,-59.3,107.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.006,74.8,NA,15,NA,NA,NA,NA,NA,NA,NA,1.49,NA,1.8,NA,NA,NA,NA,NA,NA,525.071689639006,NA,NA
"B1A07",2010,2,1,3.171428571,2.333333333,NA,NA,NA,-58.36,-219,35.63791627,2.642439432,NA,NA,NA,885.931306,NA,NA,NA,0.81,NA,2.746950885,NA,120.655,1.154145532,30,NA,NA,NA,NA,1.985865141,NA,NA,0.47,NA,1.94,NA,NA,NA,NA,2.433609785,NA,420.181666666667,NA,NA
"B1A07",2011,2,1,NA,NA,NA,NA,NA,281,118.5,NA,NA,NA,NA,NA,411.5801292,203.3026465,NA,NA,1.19,NA,6.628787879,NA,115.61,0.7852538275,20,NA,NA,NA,NA,0.931689786,NA,NA,1.9,NA,0.44,NA,NA,NA,NA,2.728277372,NA,409.933333333333,NA,NA
